Empleado 1:
 Codigo empleado: 1 
 Nombre: Elena 
Dirección: Calle Santa Sabina 
 Salario: 1000,00 
 Comisión: 10,00 
Empleado 2:
 Codigo empleado: 2 
 Nombre: María 
Dirección: Calle falsa 123 
 Salario: 1500,00 
 Comisión: 33,00 
Empleado 3:
 Codigo empleado: 3 
 Nombre: Miriam 
Dirección: Fuencarral 
 Salario: 3000,00 
 Comisión: 40,00 
Empleado 4:
 Codigo empleado: 4 
 Nombre: Miriam 
Dirección: Fuencarral 
 Salario: 1000,00 
 Comisión: 40,00 
Empleado 5:
 Codigo empleado: 5 
 Nombre: Miriam 
Dirección: Calle Santa Sabina 
 Salario: 1100,00 
 Comisión: 55,00 
Empleado 1:
 Codigo empleado: 1 
 Nombre: Francisco 
Dirección: Plaza de España 
 Salario: 1400,00 
 Comisión: 55,00 
Empleado 2:
 Codigo empleado: 2 
 Nombre: María 
Dirección: Calle falsa 123 
 Salario: 2000,00 
 Comisión: 40,00 
Empleado 3:
 Codigo empleado: 3 
 Nombre: Alejandro 
Dirección: Calle Santa Sabina 
 Salario: 1200,00 
 Comisión: 40,00 
Empleado 4:
 Codigo empleado: 4 
 Nombre: Alejandro 
Dirección: Calle Santa Sabina 
 Salario: 1400,00 
 Comisión: 10,00 
Empleado 5:
 Codigo empleado: 5 
 Nombre: Elena 
Dirección: Fuencarral 
 Salario: 1100,00 
 Comisión: 10,00 
Empleado 1:
 Codigo empleado: 1 
 Nombre: Francisco 
Dirección: Fuencarral 
 Salario: 2200,00 
 Comisión: 25,00 
Empleado 2:
 Codigo empleado: 2 
 Nombre: Alejandro 
Dirección: Fuencarral 
 Salario: 3000,00 
 Comisión: 10,00 
Empleado 3:
 Codigo empleado: 3 
 Nombre: Luismi 
Dirección: Calle Juan Carlos I 
 Salario: 3000,00 
 Comisión: 25,00 
Empleado 4:
 Codigo empleado: 4 
 Nombre: Luismi 
Dirección: Plaza de España 
 Salario: 1400,00 
 Comisión: 30,00 
Empleado 5:
 Codigo empleado: 5 
 Nombre: Alejandro 
Dirección: Calle falsa 123 
 Salario: 3000,00 
 Comisión: 33,00 
Empleado 1:
 Codigo empleado: 1 
 Nombre: Elena 
Dirección: Fuencarral 
 Salario: 1000,00 
 Comisión: 40,00 
Empleado 2:
 Codigo empleado: 2 
 Nombre: Miriam 
Dirección: Fuencarral 
 Salario: 1200,00 
 Comisión: 25,00 
Empleado 3:
 Codigo empleado: 3 
 Nombre: Alejandro 
Dirección: Fuencarral 
 Salario: 3000,00 
 Comisión: 30,00 
Empleado 4:
 Codigo empleado: 4 
 Nombre: Miriam 
Dirección: Plaza de España 
 Salario: 1200,00 
 Comisión: 33,00 
Empleado 5:
 Codigo empleado: 5 
 Nombre: Francisco 
Dirección: Fuencarral 
 Salario: 1500,00 
 Comisión: 10,00 
